,value,open_value,market_cap(억원),market_cap_rank,title
1138,11200,11275,224,,QV 에너지 TOP5 ETN
1139,7435,7415,223,,삼성 Cushing 에너지인프라 MLP ETN
1140,11100,11100,222,,미래에셋 미국 시니어론 100 ETN
1141,6850,6830,222,,KOSEF 코스닥150
1142,11040,11115,221,,QV 의료 TOP5 ETN
1143,11030,11180,221,,신한 콩 선물 ETN(H)
1144,95645,95360,220,,ARIRANG 미국단기우량회사채
1145,10970,10970,219,,미래에셋 글로벌 리츠 ETN(H)
1146,10810,10810,216,,미래에셋 미국 리츠 ETN(H)
1147,40250,41000,216,코스피1148위,한진칼우
1148,10780,10720,216,,신한 레버리지 미국달러 선물 ETN
1149,19215,19350,215,,KODEX 에너지화학
1150,11730,11825,211,,KODEX 배당성장채권혼합
1151,19130,19200,210,,FOCUS KRX300
1152,10460,10460,209,,QV iSelect 글로벌 EMP ETN(H)
1153,20850,21840,208,,신한 레버리지 구리 선물 ETN
1154,10360,10360,207,,삼성 코스피 풋매도 4% OTM ETN
1155,10550,10580,206,,FOCUS ESG리더스
1156,10220,10225,204,,삼성 레버리지 나스닥 100 ETN(H)
1157,17465,17475,204,,KODEX 글로벌4차산업로보틱스(합성)
1158,6465,6055,203,,KODEX 미국S&P에너지(합성)
1159,10145,10075,203,,신한 인버스 옥수수 선물 ETN(H)
1160,10115,9885,202,,QV 조선 TOP5 ETN
1161,8710,8640,201,,KOSEF 미국달러선물레버리지
1162,5205,5220,200,,TIGER KIS부동산인프라채권TR
1163,6675,6655,200,,삼성 Alerian 에너지인프라 MLP ETN
1164,20000,20595,200,,KODEX KRX300레버리지
1165,9295,9220,200,,HANARO 고배당
1166,306,0,198,코스피1167위,지코
1167,790,780,198,,신한 인버스 2X WTI원유 선물 ETN(H)
1168,19740,19635,197,,삼성 레버리지 구리 선물 ETN(H)
1169,21840,22090,197,,TIGER 200에너지화학레버리지
1170,69700,69640,197,,KODEX 국채선물10년
1171,4050,4060,194,코스피1172위,한화투자증권우
1172,13840,13970,194,,KODEX 200exTOP
1173,19320,19275,193,,KODEX 헬스케어
1174,1195,1195,193,,하이골드3호
1175,17510,17690,193,,TIGER 인도니프티50레버리지(합성)
1176,6460,6340,192,코스피1177위,코리아써우
1177,42540,42800,191,,파워 200
1178,4885,4890,191,코스피1179위,SK증권우
1179,2920,2925,190,코스피1180위,넥센타이어1우B
1180,8990,8980,188,코스피1181위,대덕전자1우
1181,11770,11655,188,,KODEX 미국채울트라30년선물(H)
1182,1660,1680,188,코스피1183위,한국주강
1183,7810,7800,187,,KODEX 구리선물(H)
1184,11000,11105,185,,TIGER LG그룹+펀더멘털
1185,38500,38500,185,코스피1186위,한화우
1186,20470,20000,184,,ARIRANG 미국나스닥기술주
1187,8720,8775,184,,KOSEF 미국달러선물인버스2X
1188,10185,10245,183,,ARIRANG 고배당저변동50
1189,12260,12295,181,,TIGER 삼성그룹펀더멘털
1190,8860,8775,177,,QV 운송 TOP5 ETN
1191,12465,12465,175,,KODEX MSCI밸류
1192,24905,24955,174,,QV 미국 IT TOP5 ETN(H)
1193,13290,13265,173,,TIGER AI코리아그로스액티브
1194,14395,14395,173,,KODEX Fn멀티팩터
1195,17175,17320,172,,미래에셋 원유선물혼합 ETN(H)
1196,18855,18830,170,,HANARO KRX300
1197,4335,4315,169,,ARIRANG 200선물인버스2X
1198,8425,8400,168,,QV 건설 TOP5 ETN
