,value,open_value,market_cap(억원),market_cap_rank,title
601,12660,12700,1671,,KODEX 배당가치
602,13800,13660,1670,,KBSTAR 코스닥150
603,11020,11000,1666,,ARIRANG 고배당주
604,49375,50090,1654,,HANARO 200TR
605,7450,7650,1654,코스피606위,영풍제지
606,4115,3985,1646,코스피607위,카프로
607,5630,5650,1646,코스피608위,태경산업
608,50055,50060,1645,,TIGER 단기채권액티브
609,3965,4020,1626,,미래에셋 레버리지 원유선물혼합 ETN(H)
610,35850,36600,1625,코스피611위,한국화장품제조
611,4440,4445,1624,코스피612위,모나리자
612,2315,2440,1615,코스피613위,성창기업지주
613,14600,14750,1612,코스피614위,디와이파워
614,3575,3695,1606,코스피615위,백광산업
615,5570,5550,1603,코스피616위,에쓰씨엔지니어링
616,9680,9900,1593,코스피617위,HDC아이콘트롤스
617,9950,10000,1592,코스피618위,신라교역
618,8410,8440,1587,코스피619위,NH투자증권우
619,1330,1325,1581,코스피620위,동양철관
620,118000,115500,1567,코스피621위,대한화섬
621,4350,4360,1563,코스피622위,CJ씨푸드
622,1940,1960,1563,코스피623위,한솔홈데코
623,11015,11010,1553,,TIGER 미국S&P500
624,3985,4220,1552,코스피625위,국동
625,3425,3485,1549,코스피626위,대성산업
626,11600,11750,1542,코스피627위,노루홀딩스
627,1925,1930,1540,,한국패러랠
628,2165,2190,1538,코스피629위,신일전자
629,3400,3445,1535,코스피630위,까뮤이앤씨
630,16750,17050,1535,코스피631위,사조대림
631,5810,6000,1529,코스피632위,디와이
632,2730,2680,1526,코스피633위,진양홀딩스
633,7990,8100,1524,코스피634위,지엠비코리아
634,8280,8240,1524,코스피635위,국제약품
635,6610,6480,1521,코스피636위,STX엔진
636,4665,4795,1521,코스피637위,한전산업
637,37950,37850,1517,코스피638위,두산우
638,4130,3975,1517,코스피639위,NPC
639,4345,4395,1514,코스피640위,써니전자
640,4050,4115,1508,코스피641위,깨끗한나라
641,15700,15950,1508,코스피642위,코스맥스비티아이
642,629,634,1506,코스피643위,쌍방울
643,23100,22450,1502,코스피644위,강남제비스코
644,3565,3560,1498,코스피645위,한솔홀딩스
645,6830,6860,1493,코스피646위,핸즈코퍼레이션
646,5700,5720,1484,코스피647위,유수홀딩스
647,45360,45460,1474,,TIGER 미국S&P500선물(H)
648,12650,13150,1467,코스피649위,태경케미컬
649,8310,8490,1466,코스피650위,토니모리
650,5050,5150,1466,코스피651위,금강공업
651,69300,72900,1465,코스피652위,DL이앤씨우
652,1890,1900,1464,코스피653위,일신석재
653,12500,12650,1462,코스피654위,디씨엠
654,10600,10500,1456,코스피655위,동아타이어
655,4460,4525,1454,코스피656위,계양전기
656,3600,3580,1440,코스피657위,삼원강재
657,49950,49850,1436,코스피658위,샘표
658,1585,1680,1435,코스피659위,삼익악기
659,114000,110000,1434,코스피660위,조선선재
660,100195,100195,1432,,KINDEX 단기통안채
661,2050,2135,1431,코스피662위,세원셀론텍
662,11450,11500,1426,코스피663위,화성산업
663,2460,2475,1425,코스피664위,광전자
664,11775,11800,1425,,TIGER 차이나항셍테크
665,5160,5170,1419,코스피666위,대성에너지
666,701,675,1419,코스피667위,SG세계물산
667,250000,260500,1415,코스피668위,SK우
668,6220,6220,1406,코스피669위,에이플러스에셋
669,35045,36205,1402,,TIGER 차이나CSI300레버리지(합성)
670,21685,21945,1392,,KBSTAR IT플러스
671,698,700,1385,코스피672위,마니커
672,2940,3000,1383,코스피673위,웰바이오텍
673,21450,22250,1382,코스피674위,아모레G우
674,6930,6960,1381,코스피675위,DRB동일
675,3345,3380,1380,코스피676위,이수페타시스
676,130000,142000,1373,코스피677위,부산산업
677,5040,3975,1364,코스피678위,두올
678,20300,20900,1359,코스피679위,삼일제약
679,61600,62300,1355,코스피680위,미원화학
680,20400,20800,1349,코스피681위,삼화전기
681,4760,4795,1348,코스피682위,일진디스플
682,9060,9070,1345,코스피683위,크라운해태홀딩스
683,4080,4100,1344,코스피684위,넥스트사이언스
684,2250,2310,1343,코스피685위,한창제지
685,44420,44645,1341,,TIGER 헬스케어
686,9100,8950,1339,코스피687위,우리들제약
687,8570,8410,1338,코스피688위,유니온
688,25885,26240,1336,,TIGER 현대차그룹+펀더멘털
689,11085,11055,1330,,KINDEX 미국S&P500
690,3560,3625,1320,코스피691위,일진전기
691,580,595,1318,코스피692위,큐로
692,6575,6525,1315,,신한 인버스 2X 천연가스 선물 ETN(H)
693,11430,11280,1314,,KINDEX 미국나스닥100
694,2755,2725,1313,코스피695위,대우부품
695,13350,13650,1312,코스피696위,남광토건
696,2275,2255,1290,코스피697위,유화증권
697,2150,2200,1288,코스피698위,보락
698,3135,3115,1287,코스피699위,세이브존I&C
699,10100,10050,1286,코스피700위,한양증권
700,3305,3220,1285,코스피701위,디아이씨
701,3530,3600,1278,코스피702위,남성
702,5430,5540,1265,,KODEX 은선물(H)
703,37205,38130,1265,,TIGER 반도체
704,8020,6730,1258,코스피705위,덕성
705,47035,47010,1256,,KODEX 국채선물10년인버스
706,72000,74500,1253,코스피707위,미창석유
707,5040,5080,1252,코스피708위,범양건영
708,8880,9320,1243,코스피709위,황금에스티
709,2980,2860,1240,코스피710위,무림페이퍼
710,4150,4090,1235,코스피711위,인터지스
711,9850,9920,1234,코스피712위,크라운제과
712,2310,2585,1233,코스피713위,영화금속
713,967,948,1232,코스피714위,보해양조
714,54500,56800,1232,코스피715위,CJ우
715,12290,12290,1229,,대신 골드 커버드콜 타겟 5%인컴 ETN(H)
716,1445,1435,1229,코스피717위,신원
717,8170,8180,1226,,TRUE 코스피 양매도 5% OTM ETN
718,187000,220000,1225,코스피719위,한국석유
719,38450,40150,1217,코스피720위,한국공항
720,2405,2430,1212,코스피721위,우리들휴브레인
721,12120,12465,1212,,신한 레버리지 은 선물 ETN(H)
722,2015,2140,1209,코스피723위,에넥스
723,3450,3550,1203,코스피724위,극동유화
724,24035,23895,1202,,삼성 인버스 2X 천연가스 선물 ETN B
725,8800,8840,1201,코스피726위,동일고무벨트
726,1245,1230,1197,코스피727위,KR모터스
727,59800,59700,1196,코스피728위,시디즈
728,12450,12550,1195,코스피729위,신흥
729,4310,4495,1189,코스피730위,태경비케이
